# catalog24 append-only evidence log
added	canon	board	kind	value	method	nodes	replay_ok	src	note
g1	0 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1	0 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1	lineage	-	candidates24	-	-	data/pool_g1.txt	cand#0 seed=R restart=0 perturb=0 ops=3cyc:0,dswap:0 accepts=0 wd=140 cheap=140 frame=1
g1	20 24 23 22 21 15 19 18 12 11 0 14 13 17 16 10 9 8 7 6 5 4 3 2 1	24 23 0 22 21 20 19 18 17 16 15 14 13 12 11 10 8 9 7 6 5 3 4 2 1	lineage	-	candidates24	-	-	data/pool_g1.txt	cand#1 seed=reflect(R) restart=1 perturb=8 ops=3cyc:3,dswap:2 accepts=5 wd=136 cheap=136 frame=0
g1	0 14 23 17 16 20 19 13 22 11 15 24 18 12 21 5 9 3 7 1 10 4 8 2 6	0 14 23 17 16 20 19 13 22 11 15 24 18 12 21 5 9 3 7 1 10 4 8 2 6	lineage	-	candidates24	-	-	data/pool_g1.txt	cand#2 seed=frame#0 restart=0 perturb=0 ops=3cyc:78,dswap:23 accepts=101 wd=134 cheap=134 frame=0
g1	20 24 23 22 21 14 19 18 17 16 15 9 12 13 11 10 0 8 7 6 5 4 3 2 1	20 24 23 22 21 14 19 18 17 16 15 9 12 13 11 10 0 8 7 6 5 4 3 2 1	lineage	-	candidates24	-	-	data/pool_g1.txt	cand#3 seed=R restart=1 perturb=8 ops=3cyc:4,dswap:0 accepts=4 wd=134 cheap=134 frame=0
g1	20 23 22 21 16 19 24 18 0 17 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1	24 19 23 22 21 15 20 18 17 16 10 14 13 12 11 5 0 8 7 6 4 9 3 2 1	lineage	-	candidates24	-	-	data/pool_g1.txt	cand#4 seed=R restart=2 perturb=8 ops=3cyc:0,dswap:0 accepts=0 wd=132 cheap=132 frame=0
g1	20 24 23 22 21 15 19 18 17 16 10 14 13 12 11 5 8 3 7 6 4 9 0 2 1	24 23 22 21 16 20 19 18 12 17 15 14 13 11 0 10 9 8 7 6 5 4 3 2 1	lineage	-	candidates24	-	-	data/pool_g1.txt	cand#5 seed=R restart=3 perturb=8 ops=3cyc:0,dswap:0 accepts=0 wd=132 cheap=132 frame=0
g1	14 24 13 12 16 20 18 23 17 11 15 19 0 22 21 5 9 3 7 6 10 4 8 2 1	14 24 13 12 16 20 18 23 17 11 15 19 0 22 21 5 9 3 7 6 10 4 8 2 1	lineage	-	candidates24	-	-	data/pool_g1.txt	cand#6 seed=frame#16 restart=1 perturb=8 ops=3cyc:68,dswap:29 accepts=97 wd=130 cheap=130 frame=0
g1	15 18 23 22 21 20 24 13 12 11 10 14 19 17 16 5 8 3 7 6 0 4 9 2 1	15 18 23 22 21 20 24 13 12 11 10 14 19 17 16 5 8 3 7 6 0 4 9 2 1	lineage	-	candidates24	-	-	data/pool_g1.txt	cand#7 seed=frame#27 restart=3 perturb=8 ops=3cyc:50,dswap:19 accepts=69 wd=130 cheap=130 frame=0
g1	20 18 0 12 21 24 19 23 17 16 15 14 13 22 11 5 10 8 2 1 4 9 3 7 6	20 18 0 12 21 24 19 23 17 16 15 14 13 22 11 5 10 8 2 1 4 9 3 7 6	lineage	-	candidates24	-	-	data/pool_g1.txt	cand#8 seed=frame#2 restart=1 perturb=8 ops=3cyc:85,dswap:37 accepts=122 wd=130 cheap=130 frame=0
g1	20 23 0 17 16 19 15 18 22 21 24 14 13 12 11 10 4 3 7 1 5 9 8 2 6	20 23 0 17 16 19 15 18 22 21 24 14 13 12 11 10 4 3 7 1 5 9 8 2 6	lineage	-	candidates24	-	-	data/pool_g1.txt	cand#9 seed=frame#23 restart=1 perturb=8 ops=3cyc:90,dswap:23 accepts=113 wd=130 cheap=130 frame=0
g1	0 13 14 12 21 19 15 20 22 17 18 24 23 11 16 5 10 9 2 6 8 4 3 7 1	0 13 14 12 21 19 15 20 22 17 18 24 23 11 16 5 10 9 2 6 8 4 3 7 1	lineage	-	candidates24	-	-	data/pool_g1.txt	cand#10 seed=frame#16 restart=0 perturb=0 ops=3cyc:98,dswap:28 accepts=126 wd=128 cheap=128 frame=0
g1	0 13 15 12 16 14 24 20 17 11 23 18 19 22 21 5 4 8 2 7 3 9 10 1 6	0 18 15 21 11 13 20 14 16 17 23 24 19 12 22 8 9 10 6 1 4 3 5 7 2	lineage	-	candidates24	-	-	data/pool_g1.txt	cand#11 seed=frame#1 restart=0 perturb=0 ops=3cyc:56,dswap:24 accepts=80 wd=128 cheap=128 frame=0
g1	0 13 15 22 21 23 19 24 17 11 14 20 18 16 12 9 4 8 7 2 3 5 10 6 1	0 13 15 22 21 23 19 24 17 11 14 20 18 16 12 9 4 8 7 2 3 5 10 6 1	lineage	-	candidates24	-	-	data/pool_g1.txt	cand#12 seed=frame#2 restart=3 perturb=8 ops=3cyc:61,dswap:10 accepts=71 wd=128 cheap=128 frame=0
