board	seed	len	d	cwd	slack	md	dem_tot	dem_ctr_w	dem_row	dem_col	mis_cnt	mis_mass	flow_row	flow_col	blank_r	blank_c	sec
0	11400714819323198485	70	44	34	10	32	1	0	0,0,0,0,0	1,0,0,0,0	21	33	4,6,5,5	5,1,3,3	2	0	0.00
1	4354685564936845355	70	52	38	14	32	2	1	0,0,0,0,0	0,1,0,0,1	16	30	6,6,3,3	4,2,6,2	2	4	0.11
2	15755400384260043839	70	44	36	8	36	0	0	0,0,0,0,0	0,0,0,0,0	20	32	6,6,2,5	4,3,5,5	3	1	0.00
3	8709371129873690709	70	46	34	12	32	1	1	0,0,0,0,0	0,1,0,0,0	19	36	4,4,6,6	4,2,2,4	4	4	0.03
4	1663341875487337577	70	58	52	6	50	0	0	0,0,0,0,0	0,0,0,0,0	21	35	2,10,9,5	5,7,7,5	2	0	0.01
5	13064056694810536063	70	54	44	10	40	2	1	0,0,0,1,1	0,0,0,0,0	23	37	6,6,2,3	8,5,5,5	3	1	0.06
6	6018027440424182931	70	40	34	6	30	0	0	0,0,0,0,0	0,0,0,0,0	15	29	2,5,5,3	2,2,6,5	1	3	0.00
7	17418742259747381417	70	52	30	22	28	0	0	0,0,0,0,0	0,0,0,0,0	16	28	4,4,2,4	3,3,3,5	4	0	0.64
8	10372713005361028285	70	52	32	20	28	1	2	0,0,1,0,0	0,0,0,0,0	15	27	4,4,4,3	4,4,2,3	3	3	2.29
9	3326683750974675155	70	50	38	12	32	1	2	0,0,1,0,0	0,0,0,0,0	19	30	6,2,2,2	6,4,5,5	4	2	0.14
10	14727398570297873639	70	56	44	12	40	1	0	0,0,0,0,0	1,0,0,0,0	21	37	9,5,1,5	2,4,8,6	0	4	0.08
11	7681369315911520509	70	48	36	12	32	1	1	0,1,0,0,0	0,0,0,0,0	19	32	2,4,2,5	6,4,2,7	3	3	0.02
12	635340061525167377	70	48	38	10	34	2	1	0,0,0,0,0	1,1,0,0,0	18	31	5,5,7,5	2,2,4,4	0	4	0.01
13	12036054880848365863	70	48	34	14	32	0	0	0,0,0,0,0	0,0,0,0,0	17	27	6,2,4,1	2,4,6,7	3	3	0.23
14	4990025626462012731	70	54	40	14	38	1	0	1,0,0,0,0	0,0,0,0,0	22	37	4,2,5,5	9,5,5,3	2	0	0.17
15	16390740445785211217	70	66	56	10	54	1	1	0,0,0,1,0	0,0,0,0,0	23	35	8,8,7,7	6,6,7,5	2	2	0.18
16	9344711191398858085	70	64	48	16	44	4	2	1,1,0,1,0	1,0,0,0,0	22	39	1,5,5,7	4,6,10,6	0	4	1.79
17	2298681937012504955	70	52	38	14	38	0	0	0,0,0,0,0	0,0,0,0,0	20	33	4,3,7,5	6,4,4,5	1	3	0.02
18	13699396756335703439	70	46	36	10	34	0	0	0,0,0,0,0	0,0,0,0,0	18	33	4,6,6,1	6,4,4,3	3	3	0.00
19	6653367501949350309	70	56	36	20	30	2	1	0,0,0,1,0	1,0,0,0,0	18	29	4,4,2,2	4,4,5,5	4	2	7.52
20	18054082321272548793	70	48	38	10	36	1	0	0,0,0,0,0	0,0,0,0,1	22	36	6,6,2,3	4,4,6,5	3	3	0.03
21	11008053066886195663	70	56	40	16	34	2	1	1,0,0,0,0	0,1,0,0,0	21	37	4,4,4,5	4,6,4,3	3	3	1.47
22	3962023812499842531	70	56	42	14	36	1	0	1,0,0,0,0	0,0,0,0,0	20	35	4,6,2,6	6,4,4,4	4	4	0.40
23	15362738631823041017	70	46	30	16	28	1	0	0,0,0,0,0	1,0,0,0,0	17	27	6,3,3,3	4,3,3,3	1	1	0.12
24	8316709377436687885	70	60	46	14	46	0	0	0,0,0,0,0	0,0,0,0,0	22	35	6,9,5,3	8,5,5,5	1	1	1.30
25	1270680123050334755	70	50	44	6	44	0	0	0,0,0,0,0	0,0,0,0,0	23	37	4,7,3,5	10,7,5,3	1	1	0.00
26	12671394942373533239	70	34	34	0	30	1	0	0,0,0,0,0	1,0,0,0,0	20	32	6,4,4,3	4,5,1,3	3	1	0.00
27	5625365687987180109	70	56	42	14	36	3	1	1,0,0,1,0	0,0,0,0,1	18	30	6,5,3,3	6,7,5,1	1	1	2.58
28	17026080507310378593	70	54	38	16	32	4	3	1,0,0,1,1	0,0,1,0,0	20	29	4,4,2,3	4,2,6,7	3	3	1.36
29	9980051252924025463	70	52	38	14	32	3	4	0,0,0,1,0	0,1,1,0,0	17	29	6,6,5,1	2,2,2,8	2	4	0.15
30	2934021998537672331	70	44	34	10	28	2	0	1,0,0,0,1	0,0,0,0,0	20	34	3,3,3,3	3,5,3,5	0	0	0.01
31	14334736817860870817	70	58	52	6	46	2	1	1,0,0,0,0	0,0,0,1,0	22	33	6,6,6,5	6,3,9,5	3	1	0.01
32	7288707563474517685	70	54	38	16	36	1	0	0,0,0,0,0	1,0,0,0,0	20	29	4,4,6,5	2,4,4,7	3	3	0.50
33	242678309088164555	70	56	42	14	38	1	1	0,0,0,0,0	0,0,0,1,0	19	35	4,6,6,6	2,6,3,5	4	2	1.05
34	11643393128411363039	70	62	42	20	38	2	1	0,0,0,1,0	1,0,0,0,0	20	31	8,4,4,4	2,6,3,7	4	2	41.63
