Lower bound: depth >= 146
Wall-clock     : 36.95s
Nodes          : 422379819
Search time    : 11.92s
Throughput     : 35.44 Mnodes/s

cWD-value histogram of expanded nodes (cWD does not prune):
  total expanded: 318978950
  cWD  64:                1  ( 0.000%)
  cWD  65:                1  ( 0.000%)
  cWD  66:                2  ( 0.000%)
  cWD  67:                3  ( 0.000%)
  cWD  68:               16  ( 0.000%)
  cWD  69:               19  ( 0.000%)
  cWD  70:               30  ( 0.000%)
  cWD  71:               47  ( 0.000%)
  cWD  72:              123  ( 0.000%)
  cWD  73:              252  ( 0.000%)
  cWD  74:              656  ( 0.000%)
  cWD  75:              932  ( 0.000%)
  cWD  76:             2165  ( 0.001%)
  cWD  77:             3101  ( 0.001%)
  cWD  78:             6422  ( 0.002%)
  cWD  79:             8662  ( 0.003%)
  cWD  80:            17124  ( 0.005%)
  cWD  81:            20156  ( 0.006%)
  cWD  82:            33608  ( 0.011%)
  cWD  83:            44168  ( 0.014%)
  cWD  84:            75703  ( 0.024%)
  cWD  85:            96208  ( 0.030%)
  cWD  86:           151420  ( 0.047%)
  cWD  87:           192892  ( 0.060%)
  cWD  88:           299130  ( 0.094%)
  cWD  89:           367786  ( 0.115%)
  cWD  90:           542917  ( 0.170%)
  cWD  91:           668102  ( 0.209%)
  cWD  92:           975565  ( 0.306%)
  cWD  93:          1195481  ( 0.375%)
  cWD  94:          1683058  ( 0.528%)
  cWD  95:          2027929  ( 0.636%)
  cWD  96:          2760392  ( 0.865%)
  cWD  97:          3262969  ( 1.023%)
  cWD  98:          4278341  ( 1.341%)
  cWD  99:          4935851  ( 1.547%)
  cWD 100:          6307671  ( 1.977%)
  cWD 101:          7031302  ( 2.204%)
  cWD 102:          8751751  ( 2.744%)
  cWD 103:          9540237  ( 2.991%)
  cWD 104:         11506524  ( 3.607%)
  cWD 105:         12243931  ( 3.838%)
  cWD 106:         14278280  ( 4.476%)
  cWD 107:         14751527  ( 4.625%)
  cWD 108:         16764211  ( 5.256%)
  cWD 109:         16844902  ( 5.281%)
  cWD 110:         18443783  ( 5.782%)
  cWD 111:         18038434  ( 5.655%)
  cWD 112:         18762988  ( 5.882%)
  cWD 113:         17862366  ( 5.600%)
  cWD 114:         17508068  ( 5.489%)
  cWD 115:         16116026  ( 5.052%)
  cWD 116:         14902743  ( 4.672%)
  cWD 117:         13041073  ( 4.088%)
  cWD 118:         11294356  ( 3.541%)
  cWD 119:          9240365  ( 2.897%)
  cWD 120:          7265690  ( 2.278%)
  cWD 121:          5322867  ( 1.669%)
  cWD 122:          3699141  ( 1.160%)
  cWD 123:          2396897  ( 0.751%)
  cWD 124:          1488752  ( 0.467%)
  cWD 125:           871343  ( 0.273%)
  cWD 126:           498167  ( 0.156%)
  cWD 127:           268310  ( 0.084%)
  cWD 128:           144966  ( 0.045%)
  cWD 129:            72878  ( 0.023%)
  cWD 130:            37479  ( 0.012%)
  cWD 131:            17841  ( 0.006%)
  cWD 132:             8840  ( 0.003%)
  cWD 133:             4009  ( 0.001%)
  summary: cWD<=109 44.41%  |  110-125 (k8 fires) 55.26%  |  >=126 (k8 dead) 0.33%
