image slide: 0x429c000
root-orbit-split: board is σ-symmetric; searching one representative per σ-orbit of the root's children
cWD: mmapping data/cwd_mm.bin…
cwd-lm2: mmapping data/cwd_lm_mm.bin…
cWD ready: fast single-line-max table path, neighbor-prune ON
flat engine: iterative arena, move-pruning DFA 41396 states, 687 KiB
parallel: tree-splitting driver on 8 rayon workers (RAYON_NUM_THREADS to change)
[23:25:49.251 UTC] search: start  (setup 9.00s)
    lm2joint[live]: consults 3752845 (+3752845), misses 167686 (+167686), keys 167642, prunes 443298, fallbacks 0
    lm2joint[live]: consults 19498104 (+15745259), misses 274558 (+106872), keys 274485, prunes 1956742, fallbacks 0
    lm2joint[live]: consults 28227065 (+8728961), misses 303283 (+28725), keys 303211, prunes 2763520, fallbacks 0
    lm2joint[live]: consults 35878412 (+7651347), misses 318854 (+15571), keys 318784, prunes 3555250, fallbacks 0
    lm2joint[live]: consults 43188741 (+7310329), misses 331399 (+12545), keys 331329, prunes 4311063, fallbacks 0
    lm2joint[live]: consults 50295786 (+7107045), misses 339410 (+8011), keys 339340, prunes 5036563, fallbacks 0
[23:27:33.992 UTC] threshold 144 exhausted:       156589948 nodes in 104.74s (1.50 Mn/s)
    lm2joint: 57275753 consults; axis-memo misses 345958 (0.1007% — 345888 distinct keys across workers); PRUNED 5919176 (10.33% of consults); budget fallbacks 0
    lm2joint[live]: consults 14454 (+18446744073659270284), misses 1417 (+18446744073709213623), keys 347293, prunes 2386, fallbacks 0
    lm2joint[live]: consults 90299 (+75845), misses 22454 (+21037), keys 368322, prunes 7916, fallbacks 0
    lm2joint[live]: consults 193079 (+102780), misses 40970 (+18516), keys 386833, prunes 13536, fallbacks 0
    lm2joint[live]: consults 303029 (+109950), misses 56679 (+15709), keys 402539, prunes 22573, fallbacks 0
    lm2joint[live]: consults 391225 (+88196), misses 68181 (+11502), keys 414034, prunes 31884, fallbacks 0
    lm2joint[live]: consults 607009 (+215784), misses 86297 (+18116), keys 432148, prunes 46166, fallbacks 0
    lm2joint[live]: consults 797020 (+190011), misses 107935 (+21638), keys 453784, prunes 60454, fallbacks 0
    lm2joint[live]: consults 1077224 (+280204), misses 134679 (+26744), keys 480526, prunes 76493, fallbacks 0
    lm2joint[live]: consults 1357873 (+280649), misses 159320 (+24641), keys 505166, prunes 88093, fallbacks 0
    lm2joint[live]: consults 1682590 (+324717), misses 183736 (+24416), keys 529580, prunes 104019, fallbacks 0
    lm2joint[live]: consults 1965912 (+283322), misses 207307 (+23571), keys 553150, prunes 117532, fallbacks 0
    lm2joint[live]: consults 2254190 (+288278), misses 228742 (+21435), keys 574585, prunes 138948, fallbacks 0
    lm2joint[live]: consults 2570243 (+316053), misses 251212 (+22470), keys 597055, prunes 156102, fallbacks 0
    lm2joint[live]: consults 2989356 (+419113), misses 275176 (+23964), keys 621019, prunes 175576, fallbacks 0
    lm2joint[live]: consults 3509615 (+520259), misses 301433 (+26257), keys 647275, prunes 200232, fallbacks 0
    lm2joint[live]: consults 3928993 (+419378), misses 322399 (+20966), keys 668241, prunes 234377, fallbacks 0
    lm2joint[live]: consults 4399302 (+470309), misses 343119 (+20720), keys 688961, prunes 272727, fallbacks 0
    lm2joint[live]: consults 4971629 (+572327), misses 366627 (+23508), keys 712469, prunes 309432, fallbacks 0
    lm2joint[live]: consults 5435692 (+464063), misses 383766 (+17139), keys 729607, prunes 345314, fallbacks 0
    lm2joint[live]: consults 5809562 (+373870), misses 399698 (+15932), keys 745539, prunes 372049, fallbacks 0
