image slide: 0x4b7c000
root-orbit-split: board is σ-symmetric; searching one representative per σ-orbit of the root's children
cWD: mmapping data/cwd_mm.bin…
cwd-lm2: mmapping data/cwd_lm_mm.bin…
cWD ready: fast single-line-max table path, neighbor-prune ON
flat engine: iterative arena, move-pruning DFA 41396 states, 687 KiB
parallel: tree-splitting driver on 8 rayon workers (RAYON_NUM_THREADS to change)
[13:12:20.052 UTC] search: start  (setup 1.44s)
    lm2joint[live]: consults 2841 (+2841), misses 2590 (+2590), keys 2581, prunes 68, fallbacks 293
    lm2joint[live]: consults 5798 (+2957), misses 4734 (+2144), keys 4725, prunes 168, fallbacks 556
    lm2joint[live]: consults 9595 (+3797), misses 6661 (+1927), keys 6651, prunes 334, fallbacks 808
    lm2joint[live]: consults 13972 (+4377), misses 8723 (+2062), keys 8713, prunes 550, fallbacks 1062
    lm2joint[live]: consults 16894 (+2922), misses 10405 (+1682), keys 10395, prunes 647, fallbacks 1360
    lm2joint[live]: consults 19999 (+3105), misses 11969 (+1564), keys 11959, prunes 853, fallbacks 1642
    lm2joint[live]: consults 25749 (+5750), misses 13902 (+1933), keys 13892, prunes 1165, fallbacks 1917
    lm2joint[live]: consults 31199 (+5450), misses 15664 (+1762), keys 15653, prunes 1377, fallbacks 2177
    lm2joint[live]: consults 39362 (+8163), misses 17596 (+1932), keys 17584, prunes 1703, fallbacks 2428
    lm2joint[live]: consults 47216 (+7854), misses 19279 (+1683), keys 19267, prunes 2049, fallbacks 2690
    lm2joint[live]: consults 52467 (+5251), misses 20842 (+1563), keys 20830, prunes 2431, fallbacks 2975
    lm2joint[live]: consults 59922 (+7455), misses 22650 (+1808), keys 22636, prunes 3019, fallbacks 3212
    lm2joint[live]: consults 66356 (+6434), misses 24573 (+1923), keys 24559, prunes 3306, fallbacks 3450
    lm2joint[live]: consults 75929 (+9573), misses 26506 (+1933), keys 26492, prunes 3763, fallbacks 3720
    lm2joint[live]: consults 86573 (+10644), misses 28456 (+1950), keys 28442, prunes 4435, fallbacks 3980
    lm2joint[live]: consults 98544 (+11971), misses 30862 (+2406), keys 30847, prunes 5267, fallbacks 4207
    lm2joint[live]: consults 116550 (+18006), misses 32684 (+1822), keys 32669, prunes 6130, fallbacks 4444
    lm2joint[live]: consults 129461 (+12911), misses 34711 (+2027), keys 34696, prunes 6758, fallbacks 4666
    lm2joint[live]: consults 146750 (+17289), misses 36554 (+1843), keys 36539, prunes 7429, fallbacks 4911
    lm2joint[live]: consults 172026 (+25276), misses 39125 (+2571), keys 39109, prunes 8580, fallbacks 5127
    lm2joint[live]: consults 188247 (+16221), misses 41342 (+2217), keys 41326, prunes 9340, fallbacks 5339
    lm2joint[live]: consults 207810 (+19563), misses 43393 (+2051), keys 43377, prunes 10035, fallbacks 5618
    lm2joint[live]: consults 222036 (+14226), misses 44840 (+1447), keys 44824, prunes 10853, fallbacks 5891
    lm2joint[live]: consults 237102 (+15066), misses 46373 (+1533), keys 46357, prunes 11749, fallbacks 6143
    lm2joint[live]: consults 263759 (+26657), misses 48211 (+1838), keys 48195, prunes 12730, fallbacks 6383
    lm2joint[live]: consults 285267 (+21508), misses 49894 (+1683), keys 49878, prunes 13952, fallbacks 6583
    lm2joint[live]: consults 305063 (+19796), misses 51256 (+1362), keys 51240, prunes 15232, fallbacks 6817
    lm2joint[live]: consults 317220 (+12157), misses 52811 (+1555), keys 52795, prunes 15880, fallbacks 7078
