# cWD-vs-k8 per-depth prune histogram — R board, cwd-zpdb8-lazy, --max-bound 146, 8 threads
# Children reaching make_bounded (neighbor-prune EXCLUDED). Node-identical run.
# columns: cwd_pruned = cWD alone cut the child; cwd_survived = passed cWD (= k8_pruned + k8_survived);
#          k8_pruned = k8 cut a cWD-survivor; k8_survived = passed both (expanded).
cWD+k8 (lazy) ready: k8 (30.5 GiB) advanced only on children cWD fails to prune; neighbor-prune ON
Lower bound: depth >= 148
Nodes          : 8808311484
Search time    : 327.94s

prune histogram (children reaching make_bounded; neighbor-prune excluded):
depth       cwd_pruned    cwd_survived       k8_pruned     k8_survived
   11               26            1532               0            1532
   12             1071           20153               0           20153
   13             2565           42454               0           42454
   14             6889           92618               0           92618
   15            16034          188697               0          188697
   16            42127          398359               0          398359
   17            95942          788066               0          788066
   18           245136         1595253               0         1595253
   19           513008         3049939               2         3049937
   20          1222546         5841476               4         5841472
   21          2348799        10641313              76        10641237
   22          5041139        19037020             685        19036335
   23          8905353        32415517            6169        32409348
   24         16873535        53352367           34516        53317851
   25         27061350        83046114          151969        82894145
   26         43639772       123594086          447716       123146370
   27         60900657       173280720         1733511       171547209
   28         83137180       232363291         2479346       229883945
   29        104258328       295732006         7679216       288052790
   30        126133197       364695983         9578898       355117085
   31        144155256       428499759        23555298       404944461
   32        159175896       489569681        27739178       461830503
   33        168566993       532913803        52985107       479928696
   34        169231925       564014761        61557277       502457484
   35        167778549       561224118        87391495       473832623
   36        152675549       547428611        99815161       447613450
   37        139882985       490674234       104574790       386099444
   38        116187259       440873369       116914725       323958644
   39         96635388       353014362        93361644       259652718
   40         74110433       294638889       102237566       192401323
   41         55138608       209849411        65046391       144803020
   42         39696227       164039433        68687095        95352338
   43         26728948       104178369        36506668        67671701
   44         18019909        76828165        36513636        40314529
   45         11252081        43983466        16974875        27008591
   46          7167914        30687846        15791266        14896580
   47          4197251        16133426         6729472         9403954
   48          2533963        10647731         5721500         4926231
   49          1422856         5249889         2318374         2931515
   50           795714         3326601         1794349         1532252
   51           449712         1612488          748704          863784
   52           234429          986251          525126          461125
   53           138725          468306          226963          241343
   54            67178          272367          144909          127458
   55            40555          121814           61699           60115
   56            17182           65010           34700           30310
   57             9664           28385           14735           13650
   58             3555           14462            8014            6448
   59             2064            6049            3270            2779
   60              601            3100            1760            1340
   61              432            1155             583             572
   62               88             707             423             284
   63               47             215             163              52
   64                8              70              41              29
   65               12              18              11               7
   66                4               4               3               1
   67                1               0               0               0
  all       2036762615      6771533289      1050099079      5721434210
