board	seed	len	d	v	h	wd_r	wd_c	cwd	slack	fv	fc	rt_v	rt_c	rt_home	rt_far	rt_blank	dem_tot	rtb_v	rtb_c	ph	sec
0	313490885347793157	90	66	29	37	25	27	56	10	25	27	2	5	6	1	32	2	1,1,0,0	1,1,3,0	4,5,5	2.77
1	11714205704670991641	90	56	24	32	12	20	36	20	12	20	6	6	11	1	25	3	4,1,0,1	1,2,1,2	10,7,7	5.23
2	4668176450284638511	90	54	27	27	19	23	42	12	19	23	4	2	6	0	26	0	1,1,2,0	0,0,2,0	5,5,2	0.09
3	16068891269607836995	90	58	32	26	22	22	44	14	22	22	5	2	5	2	26	0	0,1,2,2	1,1,0,0	5,3,6	0.51
4	9022862015221483865	90	70	40	30	24	22	46	24	24	22	8	4	9	3	31	0	2,1,3,2	0,1,2,1	8,6,10	89.83
5	1976832760835130733	90	62	30	32	20	20	42	20	18	20	6	6	10	2	30	2	0,2,1,3	1,2,1,2	7,9,8	13.84
6	13377547580158329219	90	56	26	30	14	18	34	22	14	16	6	7	12	1	26	2	0,1,3,2	0,2,4,1	8,8,10	17.31
7	6331518325771976087	90	58	29	29	27	27	54	4	27	27	1	1	0	2	26	0	0,1,0,0	1,0,0,0	3,1,0	0.00
8	17732233145095174573	90	60	30	30	26	16	44	16	26	16	2	7	9	0	28	1	0,1,1,0	2,2,1,2	6,5,7	5.88
9	10686203890708821441	90	68	34	34	20	26	48	20	20	26	7	4	11	0	31	3	1,3,1,2	0,1,2,1	8,8,6	11.93
10	3640174636322468311	90	54	29	25	27	19	48	6	23	15	3	5	7	1	25	3	0,2,0,1	0,0,3,2	5,5,6	0.04
11	15040889455645666795	90	68	34	34	22	24	48	20	22	24	6	5	10	1	33	2	0,0,3,3	0,1,4,0	11,5,6	34.96
12	7994860201259313665	90	54	24	30	18	20	40	14	18	20	3	5	7	1	24	1	1,0,1,1	0,2,2,1	6,7,3	0.29
13	948830946872960533	90	54	25	29	21	27	48	6	21	27	2	1	3	0	25	0	0,0,1,1	0,1,0,0	1,1,4	0.01
14	12349545766196159019	90	62	33	29	29	19	50	12	29	19	2	5	6	1	28	1	0,0,2,0	0,2,1,2	6,5,3	1.76
15	5303516511809805887	90	62	31	31	21	21	46	16	21	21	5	5	9	1	29	2	0,0,1,4	1,2,0,2	6,5,9	4.58
16	16704231331133004373	90	52	23	29	17	23	42	10	15	23	4	3	7	0	25	2	1,1,2,0	0,2,1,0	5,5,4	0.01
17	9658202076746651241	90	56	27	29	17	19	40	16	17	19	5	5	10	0	27	2	1,2,2,0	0,3,1,1	5,8,7	2.19
18	2612172822360298111	90	52	24	28	18	24	42	10	18	24	3	2	2	3	23	0	0,0,3,0	0,1,0,1	5,4,1	0.06
19	14012887641683496595	90	52	28	24	18	20	38	14	18	18	5	3	6	2	24	1	0,3,1,1	0,1,1,1	6,4,6	0.15
20	6966858387297143465	90	64	30	34	22	22	48	16	22	22	4	6	9	1	31	2	1,2,1,0	3,1,1,1	5,5,10	6.23
