board	d	h0	hR1	hR2	hR3	hCEIL	fired1	fired2	fired3	exits	fb
0	66	56	56	56	56	64	0	0	1	6	0
1	56	38	38	38	38	54	0	0	2	11	0
2	54	42	42	42	42	54	0	0	0	6	0
3	58	44	44	44	44	54	0	0	0	5	0
4	70	46	46	46	48	64	0	0	1	9	0
5	62	42	42	42	42	58	0	0	0	10	0
6	56	34	34	34	40	54	0	1	4	12	0
7	58	54	54	54	54	54	0	0	0	0	0
8	60	44	44	44	44	60	0	0	0	9	0
9	68	52	52	52	54	68	0	0	1	11	0
10	54	50	50	50	50	52	0	1	1	7	0
11	68	50	50	50	50	66	0	0	0	10	0
12	54	40	40	40	42	52	0	0	1	7	0
13	54	48	48	48	48	54	0	0	0	3	0
14	62	50	50	50	50	60	0	0	0	6	0
15	62	46	46	46	46	60	0	0	0	9	0
16	52	42	42	42	44	52	0	0	1	7	0
17	56	40	40	40	40	56	0	0	0	10	0
18	52	42	42	42	42	46	0	0	0	2	0
19	52	38	38	38	38	48	0	0	1	6	0
20	64	48	48	48	48	62	0	0	0	9	0
21	66	50	50	50	50	66	0	0	0	9	0
22	56	42	42	42	42	56	0	0	0	7	0
23	56	44	44	44	44	56	0	0	1	8	0
24	58	36	36	36	36	52	0	0	0	10	0
25	52	42	42	42	42	50	0	0	0	6	0
26	52	44	44	44	46	50	0	0	1	7	0
27	56	40	40	40	42	56	0	0	2	11	0
28	56	44	44	44	44	56	0	0	1	8	0
29	62	38	38	38	40	62	0	0	2	14	0
30	38	34	34	34	36	38	0	0	3	6	0
31	68	50	50	50	50	66	0	0	0	9	0
32	58	40	40	40	42	56	1	1	2	11	0
33	62	46	46	46	46	60	0	0	0	9	0
34	68	50	50	50	50	66	0	0	0	9	0
35	50	38	38	38	40	48	0	0	1	6	0
36	60	46	46	46	46	60	0	1	1	10	0
37	56	46	46	46	48	54	0	0	2	6	0
38	58	46	46	46	46	54	0	0	0	5	0
39	60	46	46	46	48	58	0	0	1	8	0
40	52	36	36	36	36	50	0	0	0	7	0
41	58	40	40	40	40	54	0	0	2	9	0
42	50	40	40	40	42	50	0	0	2	6	0
43	68	50	50	50	50	66	0	0	1	10	0
44	52	42	42	42	42	52	0	0	1	7	0
45	62	52	52	52	52	62	0	0	0	6	0
46	54	44	44	44	44	54	0	0	0	6	0
47	60	42	42	42	42	56	0	0	1	9	0
48	46	42	42	42	44	46	0	1	1	3	0
49	60	48	48	48	48	60	0	0	1	8	0
50	70	52	52	52	52	70	0	0	0	9	0
51	62	48	48	48	50	62	0	0	3	10	0
52	72	54	54	54	54	68	0	0	0	8	0
53	66	50	50	50	50	64	0	0	1	10	0
54	56	46	46	46	46	56	0	1	1	8	0
55	64	46	46	46	48	58	0	0	2	7	0
56	64	48	48	48	48	62	0	0	0	9	0
57	48	38	38	38	38	48	0	1	1	8	0
58	66	52	52	52	52	62	0	0	0	5	0
59	58	42	42	42	44	54	0	0	2	9	0
60	54	42	42	42	42	50	0	0	0	5	0
61	62	44	44	44	44	58	0	0	1	9	0
62	44	36	36	36	38	44	0	0	1	5	0
63	56	44	44	44	44	54	0	0	0	7	0
64	60	44	44	44	44	56	0	0	1	8	0
65	62	42	42	42	42	58	0	0	0	9	0
66	60	50	50	50	50	58	0	0	1	9	0
67	60	42	42	42	42	60	0	0	1	10	0
68	60	40	40	40	40	60	0	0	1	11	0
69	52	36	36	36	36	52	0	0	0	9	0
70	66	48	48	48	48	66	0	0	1	12	0
71	70	52	52	52	52	68	0	0	0	9	0
72	62	48	48	48	48	60	0	0	0	7	0
73	52	38	38	38	38	50	0	0	0	6	0
74	64	50	50	50	50	62	0	0	0	8	0
75	50	40	40	40	40	50	0	0	1	6	0
76	68	54	54	54	56	66	0	1	2	10	0
77	62	50	50	50	50	60	0	0	0	7	0
78	60	48	48	48	48	60	0	0	2	9	0
79	50	36	36	36	36	50	0	0	0	7	0
80	66	50	50	50	50	64	0	0	2	12	0
81	52	38	38	38	42	50	0	1	3	9	0
82	58	46	46	46	46	54	0	0	1	7	0
83	58	44	44	44	44	56	0	0	0	7	0
84	74	54	54	54	54	72	0	0	0	10	0
85	68	46	46	46	48	64	0	0	1	11	0
86	66	54	54	54	54	62	0	0	0	7	0
87	60	48	48	48	50	58	1	1	2	10	0
88	60	44	44	44	44	60	0	0	0	9	0
89	52	40	40	40	46	52	0	1	3	7	0
90	54	42	42	42	42	52	0	0	0	8	0
91	62	50	50	50	50	60	0	0	0	5	0
92	56	44	44	44	46	56	0	0	1	7	0
93	64	52	52	52	52	60	0	0	0	5	0
94	48	34	34	34	36	48	0	0	1	8	0
95	62	52	52	52	52	58	0	0	0	5	0
96	62	48	48	48	48	62	0	0	0	8	0
97	64	52	52	52	52	60	0	0	0	5	0
98	62	46	46	46	46	60	0	0	0	8	0
99	48	38	38	38	40	48	0	0	2	6	0
100	62	48	48	48	48	60	0	0	0	9	0
101	58	46	46	46	48	56	0	0	1	7	0
102	56	46	46	46	46	56	0	0	0	5	0
