board	seed	len	d	cwd	slack	md	dem_tot	dem_ctr_w	dem_row	dem_col	mis_cnt	mis_mass	flow_row	flow_col	blank_r	blank_c	sec
0	313490885347793157	90	66	56	10	52	2	1	0,1,0,0,0	1,0,0,0,0	23	36	4,8,6,7	4,6,8,9	3	3	2.76
1	11714205704670991641	90	56	36	20	32	3	3	0,1,1,0,0	0,0,0,0,1	20	34	3,3,1,5	2,6,7,5	0	2	5.35
2	4668176450284638511	90	54	42	12	42	0	0	0,0,0,0,0	0,0,0,0,0	20	34	4,4,6,5	2,8,6,7	3	3	0.11
3	16068891269607836995	90	58	44	14	44	0	0	0,0,0,0,0	0,0,0,0,0	20	36	2,6,7,7	7,7,5,3	2	0	0.56
4	9022862015221483865	90	70	46	24	46	0	0	0,0,0,0,0	0,0,0,0,0	22	38	5,9,5,5	7,5,5,5	0	0	85.08
5	1976832760835130733	90	62	42	20	38	2	1	0,0,0,1,1	0,0,0,0,0	19	33	4,4,7,3	6,4,4,6	2	4	13.05
6	13377547580158329219	90	56	34	22	30	2	2	0,0,0,1,0	0,1,0,0,0	14	26	5,5,3,1	2,4,4,6	0	4	16.46
7	6331518325771976087	90	58	54	4	54	0	0	0,0,0,0,0	0,0,0,0,0	23	38	4,7,9,7	8,9,7,3	1	1	0.00
8	17732233145095174573	90	60	44	16	42	1	0	0,0,0,0,0	0,0,0,0,1	23	33	8,8,5,5	4,4,5,3	2	2	5.45
9	10686203890708821441	90	68	48	20	46	3	3	1,1,1,0,0	0,0,0,0,0	22	33	4,2,7,7	9,7,5,5	2	0	11.25
10	3640174636322468311	90	54	48	6	38	3	2	0,0,0,0,0	0,0,0,2,1	18	31	8,5,7,3	2,8,2,3	1	3	0.04
11	15040889455645666795	90	68	48	20	46	2	1	0,0,0,1,1	0,0,0,0,0	19	28	6,6,6,4	2,6,7,9	4	2	32.86
12	7994860201259313665	90	54	40	14	38	1	2	0,0,0,0,0	0,0,1,0,0	18	34	2,6,7,3	3,5,7,5	2	0	0.30
13	948830946872960533	90	54	48	6	48	0	0	0,0,0,0,0	0,0,0,0,0	22	37	4,8,4,5	6,7,9,5	3	1	0.01
14	12349545766196159019	90	62	50	12	48	1	2	0,0,0,0,0	0,0,1,0,0	23	36	6,9,7,7	4,3,7,5	1	1	1.82
15	5303516511809805887	90	62	46	16	42	2	0	0,0,0,0,1	0,0,0,0,1	20	33	6,6,6,3	4,5,7,5	3	1	4.38
16	16704231331133004373	90	52	42	10	38	2	3	0,1,0,0,0	0,0,1,0,0	21	34	4,4,4,3	6,6,6,5	3	3	0.01
17	9658202076746651241	90	56	40	16	36	2	2	1,0,0,0,0	0,0,1,0,0	21	35	4,2,4,7	6,4,6,3	3	3	2.11
18	2612172822360298111	90	52	42	10	42	0	0	0,0,0,0,0	0,0,0,0,0	21	36	1,5,5,7	4,4,9,7	0	2	0.05
19	14012887641683496595	90	52	38	14	36	1	1	0,0,0,0,0	0,0,0,1,0	23	34	6,2,5,5	4,4,7,3	2	2	0.15
20	6966858387297143465	90	64	48	16	44	2	0	1,0,0,0,0	1,0,0,0,0	24	38	4,4,6,8	4,8,5,5	4	2	6.06
21	18367573206620341949	90	66	50	16	48	1	0	0,0,0,0,0	1,0,0,0,0	23	37	8,4,6,5	6,7,7,5	3	1	6.46
22	11321543952233988819	90	56	42	14	40	0	0	0,0,0,0,0	0,0,0,0,0	22	35	6,4,6,4	4,6,7,3	4	2	0.64
23	4275514697847635687	90	56	44	12	40	2	3	0,0,1,0,0	0,1,0,0,0	20	27	6,6,5,3	6,6,3,5	2	2	0.20
24	15676229517170834173	90	58	34	24	32	2	1	0,0,0,0,0	1,1,0,0,0	17	29	6,4,7,3	2,2,4,4	2	4	66.62
25	8630200262784481041	90	52	42	10	38	2	0	1,0,0,0,0	1,0,0,0,0	19	30	4,5,5,7	4,4,4,5	1	3	0.01
26	1584171008398127911	90	52	42	10	36	3	1	0,0,0,0,1	1,1,0,0,0	19	31	4,8,2,5	4,5,5,3	3	1	0.01
