Lower bound: depth >= 146
Nodes          : 422379819
Search time    : 20.36s
  summary: cWD<=109 44.41%  |  110-125 (k8 fires) 55.26%  |  >=126 (k8 dead) 0.33%

per-depth (g | nodes | %of-all | mean-cWD | %cWD<=109 %110-125 %>=126):
  g 11 |          4009 |  0.00% | 133.00 |   0.0%   0.0% 100.0%
  g 12 |          8840 |  0.00% | 132.00 |   0.0%   0.0% 100.0%
  g 13 |         17841 |  0.01% | 131.00 |   0.0%   0.0% 100.0%
  g 14 |         37479 |  0.01% | 130.00 |   0.0%   0.0% 100.0%
  g 15 |         72878 |  0.02% | 129.00 |   0.0%   0.0% 100.0%
  g 16 |        144966 |  0.05% | 128.00 |   0.0%   0.0% 100.0%
  g 17 |        268310 |  0.08% | 127.00 |   0.0%   0.0% 100.0%
  g 18 |        498167 |  0.16% | 126.00 |   0.0%   0.0% 100.0%
  g 19 |        871343 |  0.27% | 125.00 |   0.0% 100.0%   0.0%
  g 20 |       1488752 |  0.47% | 124.00 |   0.0% 100.0%   0.0%
  g 21 |       2396897 |  0.75% | 123.00 |   0.0% 100.0%   0.0%
  g 22 |       3699141 |  1.16% | 122.00 |   0.0% 100.0%   0.0%
  g 23 |       5322867 |  1.67% | 121.00 |   0.0% 100.0%   0.0%
  g 24 |       7265690 |  2.28% | 120.00 |   0.0% 100.0%   0.0%
  g 25 |       9240365 |  2.90% | 119.00 |   0.0% 100.0%   0.0%
  g 26 |      11294356 |  3.54% | 118.00 |   0.0% 100.0%   0.0%
  g 27 |      13041073 |  4.09% | 117.00 |   0.0% 100.0%   0.0%
  g 28 |      14902743 |  4.67% | 116.00 |   0.0% 100.0%   0.0%
  g 29 |      16116026 |  5.05% | 115.00 |   0.0% 100.0%   0.0%
  g 30 |      17508068 |  5.49% | 114.00 |   0.0% 100.0%   0.0%
  g 31 |      17862366 |  5.60% | 113.00 |   0.0% 100.0%   0.0%
  g 32 |      18762988 |  5.88% | 112.00 |   0.0% 100.0%   0.0%
  g 33 |      18038434 |  5.66% | 111.00 |   0.0% 100.0%   0.0%
  g 34 |      18443783 |  5.78% | 110.00 |   0.0% 100.0%   0.0%
  g 35 |      16844902 |  5.28% | 109.00 | 100.0%   0.0%   0.0%
  g 36 |      16764211 |  5.26% | 108.00 | 100.0%   0.0%   0.0%
  g 37 |      14751527 |  4.62% | 107.00 | 100.0%   0.0%   0.0%
  g 38 |      14278280 |  4.48% | 106.00 | 100.0%   0.0%   0.0%
  g 39 |      12243931 |  3.84% | 105.00 | 100.0%   0.0%   0.0%
  g 40 |      11506524 |  3.61% | 104.00 | 100.0%   0.0%   0.0%
  g 41 |       9540237 |  2.99% | 103.00 | 100.0%   0.0%   0.0%
  g 42 |       8751751 |  2.74% | 102.00 | 100.0%   0.0%   0.0%
  g 43 |       7031302 |  2.20% | 101.00 | 100.0%   0.0%   0.0%
  g 44 |       6307671 |  1.98% | 100.00 | 100.0%   0.0%   0.0%
  g 45 |       4935851 |  1.55% |  99.00 | 100.0%   0.0%   0.0%
  g 46 |       4278341 |  1.34% |  98.00 | 100.0%   0.0%   0.0%
  g 47 |       3262969 |  1.02% |  97.00 | 100.0%   0.0%   0.0%
  g 48 |       2760392 |  0.87% |  96.00 | 100.0%   0.0%   0.0%
  g 49 |       2027929 |  0.64% |  95.00 | 100.0%   0.0%   0.0%
  g 50 |       1683058 |  0.53% |  94.00 | 100.0%   0.0%   0.0%
  g 51 |       1195481 |  0.37% |  93.00 | 100.0%   0.0%   0.0%
  g 52 |        975565 |  0.31% |  92.00 | 100.0%   0.0%   0.0%
  g 53 |        668102 |  0.21% |  91.00 | 100.0%   0.0%   0.0%
  g 54 |        542917 |  0.17% |  90.00 | 100.0%   0.0%   0.0%
  g 55 |        367786 |  0.12% |  89.00 | 100.0%   0.0%   0.0%
  g 56 |        299130 |  0.09% |  88.00 | 100.0%   0.0%   0.0%
  g 57 |        192892 |  0.06% |  87.00 | 100.0%   0.0%   0.0%
  g 58 |        151420 |  0.05% |  86.00 | 100.0%   0.0%   0.0%
