# Clausecker, ZIB Report 20-17, Fig. 5.3 (Manhattan heuristic quality histogram), digitized
# from the PDF's vector drawing: the data polyline in the content stream at byte offset 91161 of
# papers/ZR-20-17.pdf, mapped by the gridlines (y = 25.199 pt -> 0, 173.876 pt -> 6e-21) and x
# ticks (53.943 pt -> k = 0, 437.159 pt -> k = 65). Coordinates carry 3 decimals, so values are
# quantised to ~1.1e-24. The polyline sits one quantum above the axis where the true value is
# far below it (k = 0..13 plot as 1.13e-24), so 'eta_k_offset_removed' subtracts 1.13e-24.
# The same procedure on Fig. 5.2 (stream at offset 79053) reproduces |V_k|/|V| b^-k from the
# sphere sizes to within its quantum (max difference 4.7e-29, peak 1.3e-25).
# k	eta_k_plotted	eta_k_offset_removed
0	1.129966e-24	0.000000e+00
1	1.129966e-24	0.000000e+00
2	1.129966e-24	0.000000e+00
3	1.129966e-24	0.000000e+00
4	1.129966e-24	0.000000e+00
5	1.129966e-24	0.000000e+00
6	1.129966e-24	0.000000e+00
7	1.129966e-24	0.000000e+00
8	1.129966e-24	0.000000e+00
9	1.129966e-24	0.000000e+00
10	1.129966e-24	0.000000e+00
11	1.129966e-24	0.000000e+00
12	1.129966e-24	0.000000e+00
13	1.129966e-24	0.000000e+00
14	2.300289e-24	1.170289e-24
15	2.300289e-24	1.170289e-24
16	2.300289e-24	1.170289e-24
17	3.430255e-24	2.300255e-24
18	4.560221e-24	3.430221e-24
19	5.730543e-24	4.600543e-24
20	7.990476e-24	6.860476e-24
21	9.160798e-24	8.030798e-24
22	1.372102e-23	1.259102e-23
23	1.602131e-23	1.489131e-23
24	2.401178e-23	2.288178e-23
25	2.744204e-23	2.631204e-23
26	4.003309e-23	3.890309e-23
27	4.689360e-23	4.576360e-23
28	6.634516e-23	6.521516e-23
29	7.780625e-23	7.667625e-23
30	1.109788e-22	1.098488e-22
31	1.292601e-22	1.281301e-22
32	1.773240e-22	1.761940e-22
33	2.219173e-22	2.207873e-22
34	2.985532e-22	2.974232e-22
35	3.294659e-22	3.283359e-22
36	4.610263e-22	4.598963e-22
37	4.873383e-22	4.862083e-22
38	6.955346e-22	6.944046e-22
39	7.767308e-22	7.756008e-22
40	1.002119e-21	1.000989e-21
41	1.050142e-21	1.049012e-21
42	1.355596e-21	1.354466e-21
43	1.412781e-21	1.411651e-21
44	1.808592e-21	1.807462e-21
45	2.035069e-21	2.033939e-21
46	2.407999e-21	2.406869e-21
47	2.358805e-21	2.357675e-21
48	2.992554e-21	2.991424e-21
49	3.183599e-21	3.182469e-21
50	4.178858e-21	4.177728e-21
51	3.446720e-21	3.445590e-21
52	4.189148e-21	4.188018e-21
53	3.897415e-21	3.896285e-21
54	4.562078e-21	4.560948e-21
55	4.065578e-21	4.064448e-21
56	5.537844e-21	5.536714e-21
57	3.721262e-21	3.720132e-21
58	4.268085e-21	4.266955e-21
59	4.107912e-21	4.106782e-21
60	4.538025e-21	4.536895e-21
61	3.301439e-21	3.300309e-21
62	3.970661e-21	3.969531e-21
63	3.346032e-21	3.344902e-21
64	3.511935e-21	3.510805e-21
