board	seed	len	d	v	h	wd_r	wd_c	cwd	slack	fv	fc	rt_v	rt_c	rt_home	rt_far	rt_blank	dem_tot	rtb_v	rtb_c	ph	sec
0	4253632408367938005	110	60	30	30	22	22	46	14	22	22	4	4	8	0	28	2	0,1,2,1	1,1,1,1	4,6,6	0.12
1	15654347227691136489	110	70	29	41	21	29	52	18	19	29	5	6	10	1	33	2	1,1,2,1	2,0,2,2	8,6,8	21.92
2	8608317973304783359	110	66	34	32	26	14	42	24	26	12	4	10	14	0	32	3	0,1,2,1	1,3,5,1	7,10,11	369.38
3	1562288718918430227	110	56	28	28	20	22	44	12	20	18	4	5	8	1	27	2	1,1,1,1	1,2,1,1	7,5,6	0.20
4	12963003538241628713	110	64	34	30	24	24	48	16	24	24	5	3	8	0	29	0	1,0,2,2	1,1,0,1	6,3,7	0.75
5	5916974283855275581	110	74	40	34	24	32	58	16	20	32	10	1	9	2	35	2	1,4,4,1	0,0,1,0	7,7,8	678.60
6	17317689103178474067	110	58	29	29	25	21	46	12	23	21	3	4	5	2	27	0	0,1,2,0	1,3,0,0	4,5,5	0.19
7	10271659848792120935	110	70	33	37	19	29	50	20	19	29	7	4	9	2	34	1	1,1,1,4	1,1,1,1	11,4,7	415.51
8	3225630594405767805	110	62	32	30	22	20	46	16	22	20	5	5	7	3	29	3	0,2,1,2	1,1,2,1	7,6,7	8.31
9	14626345413728966289	110	66	31	35	25	21	50	16	23	19	4	8	11	1	31	2	0,2,2,0	4,2,1,1	4,8,12	20.15
10	7580316159342613159	110	58	30	28	24	22	48	10	24	20	3	4	7	0	27	1	1,1,1,0	0,2,1,1	5,3,6	0.27
11	534286904956260027	110	60	33	27	23	21	48	12	23	21	5	3	8	0	28	2	1,0,2,2	1,0,2,0	2,5,9	0.55
12	11935001724279458513	110	60	32	28	22	22	46	14	22	20	5	4	9	0	27	3	0,2,3,0	0,1,2,1	6,4,8	1.92
13	4888972469893105381	110	70	34	36	24	24	48	22	24	24	5	6	11	0	32	0	1,1,1,2	1,1,2,2	6,7,9	437.00
14	16289687289216303867	110	64	31	33	19	29	50	14	19	29	6	2	7	1	29	1	2,3,1,0	0,0,1,1	6,5,5	2.89
15	9243658034829950735	110	64	31	33	25	19	46	18	25	19	3	7	9	1	29	1	0,2,1,0	2,0,2,3	7,10,3	6.04
16	2197628780443597605	110	74	34	40	26	28	56	18	24	28	5	6	9	2	34	2	1,1,1,2	2,2,2,0	7,7,8	845.05
17	13598343599766796089	110	70	36	34	20	26	50	20	20	26	8	4	9	3	33	2	2,0,3,3	0,1,1,2	10,5,9	220.52
18	6552314345380442959	110	56	28	28	22	14	36	20	22	14	3	7	9	1	27	0	0,2,0,1	0,3,3,1	3,9,8	10.80
19	17953029164703641443	110	62	34	28	24	22	48	14	24	22	5	3	7	1	29	1	2,0,2,1	0,1,2,0	7,6,3	1.12
20	10906999910317288313	110	62	32	30	20	24	44	18	20	22	6	4	9	1	31	0	0,0,3,3	0,1,2,1	9,3,8	4.72
21	3860970655930935181	110	62	29	33	27	25	52	10	27	25	1	4	5	0	30	0	0,1,0,0	0,2,2,0	1,4,5	0.21
22	15261685475254133667	110	68	34	34	20	26	48	20	20	26	7	4	9	2	33	2	1,2,2,2	1,1,1,1	6,8,8	65.64
23	8215656220867780535	110	54	28	26	16	18	36	18	16	18	6	4	9	1	24	1	1,1,3,1	0,2,1,1	9,5,6	4.40
24	1169626966481427405	110	54	28	26	18	18	40	14	18	18	5	4	8	1	27	3	2,1,0,2	0,1,2,1	5,7,6	0.07
25	12570341785804625889	110	58	31	27	25	17	42	16	25	15	3	6	9	0	28	0	1,1,1,0	0,2,2,2	7,7,4	4.58
26	5524312531418272759	110	50	26	24	20	22	44	6	20	22	3	1	4	0	22	1	0,2,0,1	0,1,0,0	2,1,5	0.00
27	16925027350741471243	110	52	24	28	22	22	46	6	22	20	1	4	4	1	25	1	0,1,0,0	1,2,0,1	3,3,4	0.00
28	9878998096355118113	110	50	21	29	15	19	36	14	15	19	3	5	7	1	22	1	1,1,0,1	0,3,1,1	4,5,7	0.12
29	2832968841968764981	110	52	25	27	15	21	38	14	15	21	5	3	7	1	23	2	1,3,1,0	0,1,2,0	5,6,5	0.45
30	14233683661291963467	110	78	38	40	28	32	62	16	28	32	5	4	8	1	37	2	1,1,2,1	0,2,1,1	5,6,7	413.37
31	7187654406905610335	110	54	27	27	21	21	44	10	21	19	3	4	6	1	25	2	0,1,1,1	0,0,2,2	6,2,6	0.05
32	141625152519257205	110	68	37	31	27	23	54	14	27	23	5	4	6	3	33	2	2,2,1,0	1,1,1,1	7,5,6	5.68
33	11542339971842455689	110	72	39	33	23	29	54	18	23	29	8	2	8	2	35	1	2,1,4,1	0,0,1,1	11,4,5	219.65
34	4496310717456102559	110	64	33	31	25	25	50	14	25	25	4	3	6	1	31	0	0,1,2,1	2,0,1,0	6,3,5	0.79
