board	d	h0	hR1	hR2	hR3	hCEIL	fired1	fired2	fired3	exits	fb
0	60	48	48	48	48	60	0	0	1	8	0
1	70	52	52	52	54	68	0	0	2	10	0
2	66	44	44	44	44	66	0	0	3	14	0
3	56	46	46	46	48	54	0	1	1	8	0
4	64	48	48	48	48	64	0	0	0	8	0
5	74	58	58	58	58	70	0	1	2	9	0
6	58	46	46	46	46	54	0	0	0	5	0
7	70	50	50	50	50	66	0	0	0	9	0
8	62	48	48	48	48	56	0	0	0	7	0
9	66	50	50	50	50	64	0	0	0	11	0
10	58	48	48	48	48	58	0	0	0	7	0
11	60	48	48	48	48	60	0	0	0	8	0
12	60	48	48	48	48	60	0	0	1	9	0
13	70	48	48	48	48	70	0	0	0	11	0
14	64	50	50	50	50	62	0	0	0	7	0
15	64	46	46	46	46	62	0	0	0	9	0
16	74	56	56	56	56	70	0	0	0	9	0
17	70	50	50	50	50	64	0	0	0	9	0
18	56	36	36	36	36	54	0	0	0	9	0
19	62	48	48	48	48	60	0	0	0	7	0
20	62	44	44	44	44	60	0	0	0	9	0
21	62	52	52	52	52	62	0	0	0	5	0
22	68	50	50	50	50	64	0	0	1	9	0
23	54	36	36	36	36	52	0	0	0	9	0
24	54	42	42	42	42	52	0	0	1	8	0
25	58	42	42	42	42	58	0	0	0	9	0
26	50	44	44	44	44	50	0	0	0	4	0
27	52	46	46	46	46	50	0	0	0	4	0
28	50	36	36	36	36	48	0	0	0	7	0
29	52	40	40	40	40	50	0	0	1	7	0
30	78	64	64	64	64	76	0	0	0	8	0
31	54	44	44	44	44	52	0	0	0	6	0
32	68	54	54	54	54	62	0	0	0	6	0
33	72	54	54	54	54	68	0	0	0	8	0
34	64	50	50	50	50	62	0	0	0	6	0
35	58	42	42	42	42	52	0	0	0	7	0
36	62	48	48	48	50	62	0	1	2	12	0
37	64	44	44	44	46	62	0	1	1	11	0
38	74	56	56	56	56	72	0	0	0	9	0
39	80	62	62	62	62	78	0	0	0	10	0
40	64	56	56	56	56	64	0	0	1	5	0
41	64	52	52	52	52	62	0	0	0	8	0
42	60	44	44	44	44	54	0	0	0	6	0
43	70	46	46	46	46	70	0	0	0	12	0
44	68	50	50	50	50	62	0	0	0	7	0
45	64	46	46	46	46	64	0	0	0	11	0
46	70	50	50	50	50	66	0	0	0	9	0
47	62	52	52	52	52	62	0	0	0	9	0
48	74	60	60	60	60	74	0	0	0	10	0
49	50	40	40	40	40	50	0	0	0	7	0
